Scientific publications - RenewableEnergy;Number of publications;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
BE;Belgium;3;6;4;10;8;9;7;9;16;14;12;22;28;19;30;25;52;61;81;69;95;149;133;185;217;228;277;287
BG;Bulgaria;0;1;2;3;0;1;3;4;1;2;5;1;2;5;3;7;9;13;13;15;11;18;10;30;24;27;44;31
CZ;Czech Republic;0;0;0;1;3;1;1;4;5;3;4;1;7;7;6;12;20;17;15;31;33;41;47;57;75;102;114;134
DK;Denmark;0;4;6;5;14;13;26;14;19;27;29;32;28;34;42;71;92;84;101;133;141;209;254;302;409;420;502;544
EE;Estonia;0;0;0;0;2;1;0;0;1;0;0;1;0;1;2;12;4;7;4;8;15;12;22;34;23;30;42;50
DE;Germany;24;54;54;63;89;87;99;99;163;165;165;208;222;253;343;315;441;446;488;631;656;865;943;1171;1399;1632;1840;2047
IE;Ireland;1;3;3;6;9;5;9;4;4;15;5;6;4;6;11;11;35;33;27;35;66;97;116;133;125;157;177;228
EL;Greece;0;8;13;10;6;13;13;16;19;23;19;38;32;43;50;59;80;107;82;114;130;152;166;153;187;260;284;256
ES;Spain;3;13;17;9;17;17;19;32;28;59;38;65;92;95;107;172;216;223;277;367;433;601;598;749;928;1009;1200;1146
FR;France;9;35;30;32;31;35;47;48;80;96;81;121;102;117;143;169;298;282;369;416;494;568;591;686;830;966;1027;1168
HR;Croatia;0;0;0;0;1;1;2;0;2;2;5;2;1;1;1;3;4;12;7;20;13;29;25;35;35;52;57;47
IT;Italy;8;16;37;34;43;36;42;38;70;49;60;65;69;113;119;169;215;229;302;320;416;524;563;702;889;1075;1187;1228
CY;Cyprus;0;0;0;0;0;1;2;4;2;1;3;3;4;1;2;4;5;6;7;14;7;20;11;28;27;41;58;65
LV;Latvia;0;0;0;0;0;1;1;0;1;1;2;0;0;2;2;3;1;2;4;4;3;4;9;13;5;16;28;17
LT;Lithuania;0;0;0;1;0;0;1;2;1;5;2;4;8;0;6;3;11;11;21;16;17;29;22;40;44;43;42;52
LU;Luxembourg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;13;14;8;14;19;13;17;16
HU;Hungary;1;2;1;2;6;3;4;3;2;4;1;2;4;8;7;9;7;18;13;19;27;21;30;41;41;45;60;59
MT;Malta;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;3;1;1;1;3;2;1;5;7;9;19;6
NL;Netherlands;6;12;25;16;25;19;27;31;43;34;50;62;73;58;86;85;111;119;127;160;171;195;243;292;288;396;496;487
AT;Austria;3;0;4;5;7;3;8;7;8;14;18;35;20;30;38;41;46;50;50;50;85;92;104;134;149;200;249;243
PL;Poland;3;9;4;8;8;13;11;13;13;24;23;29;16;57;54;44;63;69;95;130;157;174;174;186;230;280;366;402
PT;Portugal;0;1;2;3;2;3;5;10;4;8;10;11;18;23;22;23;45;36;43;65;85;82;131;164;206;256;307;272
RO;Romania;2;3;3;4;3;4;6;5;11;5;8;11;6;10;13;19;23;27;49;59;90;95;70;87;92;116;138;149
SI;Slovenia;0;0;0;2;4;5;9;5;5;8;8;13;6;6;7;9;6;16;20;12;20;27;33;32;49;51;65;65
SK;Slovakia;0;0;0;0;0;0;2;3;1;5;2;5;4;1;2;3;6;20;17;10;17;10;21;18;19;28;28;37
FI;Finland;3;3;3;7;8;8;13;9;8;15;19;17;21;24;16;17;42;39;33;50;78;67;92;112;140;188;192;188
SE;Sweden;4;12;9;18;16;13;23;27;26;43;47;55;55;71;76;79;98;112;84;118;169;179;261;267;349;406;455;591
GB;United Kingdom;18;47;61;40;92;80;122;99;126;119;182;145;173;183;212;245;319;383;458;486;618;847;918;1211;1403;1727;2027;2302
IS; Iceland;0;1;1;0;1;0;2;0;0;0;1;1;0;4;1;3;5;3;6;1;1;2;4;9;6;13;14;16
NO;Norway;0;6;2;11;2;6;12;7;10;19;13;10;20;18;17;24;50;50;42;55;74;82;124;161;171;192;234;280
CH;Switzerland;5;17;9;12;17;22;30;38;27;34;46;42;35;52;78;79;120;121;150;150;179;255;277;298;351;424;502;521
ME;Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;2;2;5
RS;Serbia;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;9;14;18;13;26;30;31;71;48;53;69;95;65
TR;Turkey;2;3;5;9;3;11;14;9;13;23;21;23;49;51;75;80;127;128;171;215;219;297;336;342;321;430;548;609
